Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
1;16.0;22.0;0.5;5;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;565.04;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
4;16.0;22.0;0.6;5;Successful;Effective;collision;19.58;vtypeauto.1;vtypeauto.0;558.59;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
5;16.0;22.0;0.6;8;Successful;Effective;collision;21.80;vtypeauto.1;vtypeauto.0;586.47;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
7;16.0;22.0;0.7;5;Successful;Effective;collision;19.31;vtypeauto.1;vtypeauto.0;554.26;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
8;16.0;22.0;0.7;8;Successful;Effective;collision;20.48;vtypeauto.1;vtypeauto.0;578.81;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
9;16.0;22.0;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
10;16.0;22.0;0.8;5;Successful;Effective;collision;19.15;vtypeauto.1;vtypeauto.0;551.53;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
11;16.0;22.0;0.8;8;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;573.42;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
12;16.0;22.0;0.8;10;Successful;Effective;collision;20.90;vtypeauto.1;vtypeauto.0;588.38;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
13;16.0;22.0;0.9;5;Successful;Effective;collision;19.04;vtypeauto.1;vtypeauto.0;549.56;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
14;16.0;22.0;0.9;8;Successful;Effective;collision;19.72;vtypeauto.1;vtypeauto.0;569.64;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
15;16.0;22.0;0.9;10;Successful;Effective;collision;20.33;vtypeauto.1;vtypeauto.0;583.28;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
16;16.0;22.0;1.0;5;Successful;Effective;collision;18.96;vtypeauto.1;vtypeauto.0;548.05;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.54;vtypeauto.1;vtypeauto.0;566.96;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
18;16.0;22.0;1.0;10;Successful;Effective;collision;20.01;vtypeauto.1;vtypeauto.0;579.55;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
19;16.0;22.0;1.1;5;Successful;Effective;collision;18.91;vtypeauto.1;vtypeauto.0;547.12;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.42;vtypeauto.1;vtypeauto.0;565.09;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
21;16.0;22.0;1.1;10;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;576.93;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
22;16.1;22.1;0.5;5;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;565.04;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
24;16.1;22.1;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
25;16.1;22.1;0.6;5;Successful;Effective;collision;19.58;vtypeauto.1;vtypeauto.0;558.59;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
26;16.1;22.1;0.6;8;Successful;Effective;collision;21.80;vtypeauto.1;vtypeauto.0;586.47;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
