Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;453.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
2;16.0;22.0;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
3;16.0;22.0;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
4;16.0;22.0;0.6;5;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;449.56;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
5;16.0;22.0;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
6;16.0;22.0;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
7;16.0;22.0;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
8;16.0;22.0;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
9;16.0;22.0;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
10;16.0;22.0;0.8;5;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;445.08;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
11;16.0;22.0;0.8;8;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;462.43;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
12;16.0;22.0;0.8;10;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;472.65;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
13;16.0;22.0;0.9;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;443.65;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
14;16.0;22.0;0.9;8;Successful;Effective;collision;19.68;vtypeauto.1;vtypeauto.0;460.31;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
15;16.0;22.0;0.9;10;Successful;Effective;collision;20.27;vtypeauto.1;vtypeauto.0;470.57;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
16;16.0;22.0;1.0;5;Successful;Effective;collision;18.92;vtypeauto.1;vtypeauto.0;442.72;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
17;16.0;22.0;1.0;8;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;458.56;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
18;16.0;22.0;1.0;10;Successful;Effective;collision;19.97;vtypeauto.1;vtypeauto.0;468.67;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
19;16.0;22.0;1.1;5;Successful;Effective;collision;18.87;vtypeauto.1;vtypeauto.0;442.03;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
20;16.0;22.0;1.1;8;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;457.46;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
21;16.0;22.0;1.1;10;Successful;Effective;collision;19.77;vtypeauto.1;vtypeauto.0;467.08;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
22;16.1;22.1;0.5;5;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;453.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
23;16.1;22.1;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
24;16.1;22.1;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
25;16.1;22.1;0.6;5;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;449.56;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
26;16.1;22.1;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
27;16.1;22.1;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
28;16.1;22.1;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
29;16.1;22.1;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
30;16.1;22.1;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
