Column1;Ex ID;Start_time;End_time;Injected_value;Impact_status;Collision_state;Collision time;collider;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min
0;1;16.0;22.0;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
1;2;16.1;22.1;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
2;3;16.2;22.2;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
3;4;16.3;22.3;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
4;5;16.4;22.4;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
5;6;16.5;22.5;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
6;7;16.6;22.6;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
7;8;16.7;22.7;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
8;9;16.8;22.8;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
9;10;16.9;22.9;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
10;11;17.0;23.0;0.5;Effective;collision;20.49;vtypeauto.1;0.0;-5.0;0.11;-5.79;0.17;-6.2;0.21;-6.35
11;12;17.1;23.1;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.14;0.17;-5.53;0.21;-5.74
12;13;17.2;23.2;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.13;0.17;-5.22;0.21;-5.4
13;14;17.3;23.3;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.12;0.17;-5.2;0.21;-5.24
14;15;17.4;23.4;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.11;0.17;-5.18;0.21;-5.22
15;16;17.5;23.5;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.1;0.17;-5.17;0.21;-5.21
16;17;17.6;23.6;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.09;0.17;-5.16;0.21;-5.19
17;18;17.7;23.7;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.09;0.17;-5.15;0.21;-5.18
18;19;17.8;23.8;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.09;0.17;-5.14;0.21;-5.17
19;20;17.9;23.9;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.14;0.21;-5.17
20;21;18.0;24.0;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
21;22;18.1;24.1;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
22;23;18.2;24.2;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
23;24;18.3;24.3;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
24;25;18.4;24.4;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
25;26;18.5;24.5;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
26;27;18.6;24.6;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
27;28;18.7;24.7;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
28;29;18.8;24.8;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
29;30;18.9;24.9;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
30;31;19.0;25.0;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
31;32;19.1;25.1;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
32;33;19.2;25.2;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
33;34;19.3;25.3;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.07;0.17;-5.13;0.21;-5.16
34;35;19.4;25.4;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
35;36;19.5;25.5;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
36;37;19.6;25.6;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
37;38;19.7;25.7;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
38;39;19.8;25.8;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
39;40;19.9;25.9;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
40;41;20.0;26.0;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
41;42;20.1;26.1;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
42;43;20.2;26.2;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
43;44;20.3;26.3;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
44;45;20.4;26.4;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
45;46;20.5;26.5;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
46;47;20.6;26.6;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
47;48;20.7;26.7;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
48;49;20.8;26.8;0.5;Effective;No;No;No;0.0;-5.0;0.11;-5.08;0.17;-5.13;0.21;-5.16
