Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
1;16.0;22.0;0.6;5;80;5;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;519.82;edge_0_0_0;0.0;-5.0;0.2;-5.95;0.32;-6.46;0.38;-6.65;0.41;-6.65;0.43;-6.53;0.44;-6.27;0.44;-6.01;CACC
2;16.0;22.0;0.6;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.32;-6.46;0.38;-6.65;0.41;-6.65;0.43;-6.53;0.44;-6.27;0.44;-6.01;CACC
3;16.0;22.0;0.6;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.95;0.32;-6.46;0.38;-6.65;0.41;-6.65;0.43;-6.53;0.44;-6.27;0.44;-6.01;CACC
4;16.0;22.0;0.6;5;100;5;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;638.69;edge_0_0_0;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;0.51;-6.67;0.54;-6.54;0.55;-6.33;0.55;-6.12;CACC
5;16.0;22.0;0.6;8;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;0.51;-6.67;0.54;-6.54;0.55;-6.3;0.55;-6.1;CACC
6;16.0;22.0;0.6;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.95;0.39;-6.47;0.47;-6.67;0.51;-6.67;0.54;-6.54;0.55;-6.3;0.55;-6.1;CACC
7;16.0;22.0;0.6;5;80;6;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;512.23;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.32;-7.75;0.38;-7.98;0.41;-7.97;0.43;-7.71;0.44;-7.31;0.44;-7.08;CACC
8;16.0;22.0;0.6;8;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.32;-7.75;0.38;-7.98;0.41;-7.97;0.43;-7.71;0.44;-7.31;0.44;-7.08;CACC
9;16.0;22.0;0.6;10;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.32;-7.75;0.38;-7.98;0.41;-7.97;0.43;-7.71;0.44;-7.31;0.44;-7.08;CACC
10;16.0;22.0;0.6;5;100;6;Successful;Effective;collision;19.58;vtypeauto.1;vtypeauto.0;627.92;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;0.51;-7.98;0.54;-7.84;0.55;-7.53;0.55;-7.22;CACC
11;16.0;22.0;0.6;8;100;6;Successful;Effective;collision;21.80;vtypeauto.1;vtypeauto.0;667.80;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;0.51;-7.98;0.54;-7.84;0.55;-7.53;0.55;-7.22;CACC
12;16.0;22.0;0.6;10;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;0.51;-7.98;0.54;-7.84;0.55;-7.53;0.55;-7.22;CACC
13;16.0;22.0;0.6;5;80;7;Successful;Effective;collision;19.20;vtypeauto.1;vtypeauto.0;507.34;edge_0_0_0;0.0;-7.0;0.2;-8.32;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.67;0.44;-8.17;0.44;-8.11;CACC
14;16.0;22.0;0.6;8;80;7;Successful;Effective;collision;20.35;vtypeauto.1;vtypeauto.0;535.41;edge_0_0_0;0.0;-7.0;0.2;-8.32;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.67;0.44;-8.17;0.44;-8.11;CACC
15;16.0;22.0;0.6;10;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.32;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.67;0.44;-8.17;0.44;-8.11;CACC
16;16.0;22.0;0.6;5;100;7;Successful;Effective;collision;19.26;vtypeauto.1;vtypeauto.0;621.05;edge_0_0_0;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.73;0.55;-8.4;CACC
17;16.0;22.0;0.6;8;100;7;Successful;Effective;collision;20.44;vtypeauto.1;vtypeauto.0;655.23;edge_0_0_0;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.73;0.55;-8.4;CACC
18;16.0;22.0;0.6;10;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.33;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.73;0.55;-8.4;CACC
19;16.0;22.0;0.6;5;80;8;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;503.80;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.98;0.44;-9.0;CACC
20;16.0;22.0;0.6;8;80;8;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;530.38;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.98;0.44;-9.0;CACC
21;16.0;22.0;0.6;10;80;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.98;0.44;-9.0;CACC
22;16.0;22.0;0.6;5;100;8;Successful;Effective;collision;19.04;vtypeauto.1;vtypeauto.0;616.18;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
23;16.0;22.0;0.6;8;100;8;Successful;Effective;collision;19.87;vtypeauto.1;vtypeauto.0;647.09;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
24;16.0;22.0;0.6;10;100;8;Successful;Effective;collision;20.58;vtypeauto.1;vtypeauto.0;665.22;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
25;16.0;22.0;0.7;5;80;5;Successful;Effective;collision;19.62;vtypeauto.1;vtypeauto.0;515.82;edge_0_0_0;0.0;-5.0;0.2;-6.1;0.32;-6.71;0.38;-6.95;0.41;-6.96;0.43;-6.72;0.44;-6.19;0.44;-5.96;CACC
26;16.0;22.0;0.7;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.32;-6.71;0.38;-6.95;0.41;-6.96;0.43;-6.72;0.44;-6.19;0.44;-5.96;CACC
27;16.0;22.0;0.7;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.1;0.32;-6.71;0.38;-6.95;0.41;-6.96;0.43;-6.72;0.44;-6.19;0.44;-5.96;CACC
28;16.0;22.0;0.7;5;100;5;Successful;Effective;collision;19.70;vtypeauto.1;vtypeauto.0;632.29;edge_0_0_0;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;0.51;-6.97;0.54;-6.8;0.55;-6.44;0.55;-6.19;CACC
29;16.0;22.0;0.7;8;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;0.51;-6.97;0.54;-6.78;0.55;-6.39;0.55;-6.15;CACC
30;16.0;22.0;0.7;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;0.51;-6.97;0.54;-6.74;0.55;-6.4;0.55;-6.15;CACC
31;16.0;22.0;0.7;5;80;6;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;509.52;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
32;16.0;22.0;0.7;8;80;6;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;539.84;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
33;16.0;22.0;0.7;10;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
34;16.0;22.0;0.7;5;100;6;Successful;Effective;collision;19.31;vtypeauto.1;vtypeauto.0;623.59;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;0.51;-8.35;0.54;-8.06;0.55;-7.55;0.55;-7.17;CACC
